anio,trimestre,provincia_id,accesos
2021,1,PR01,2924732
2021,1,PR02,740825
2021,1,PR03,42761
2021,1,PR04,118321
2021,1,PR05,73129
2021,1,PR06,1085427
2021,1,PR07,113093
2021,1,PR08,221612
2021,1,PR09,60478
2021,1,PR10,106851
2021,1,PR11,80094
2021,1,PR12,19675
2021,1,PR13,106177
2021,1,PR14,138117
2021,1,PR15,78320
2021,1,PR16,110693
2021,1,PR17,203905
2021,1,PR18,33922
2021,1,PR19,45583
2021,1,PR20,44241
2021,1,PR21,686902
2021,1,PR22,159550
2021,1,PR23,42034
2021,1,PR24,110506
2021,2,PR01,2933650
2021,2,PR02,741498
2021,2,PR03,42816
2021,2,PR04,117259
2021,2,PR05,73909
2021,2,PR06,1072980
2021,2,PR07,112659
2021,2,PR08,222673
2021,2,PR09,60625
2021,2,PR10,106450
2021,2,PR11,79718
2021,2,PR12,20282
2021,2,PR13,108664
2021,2,PR14,140283
2021,2,PR15,78122
2021,2,PR16,111055
2021,2,PR17,195472
2021,2,PR18,33726
2021,2,PR19,45688
2021,2,PR20,42352
2021,2,PR21,674967
2021,2,PR22,161926
2021,2,PR23,42158
2021,2,PR24,114139
2021,3,PR01,2976570
2021,3,PR02,745558
2021,3,PR03,43542
2021,3,PR04,115548
2021,3,PR05,74721
2021,3,PR06,1105454
2021,3,PR07,115700
2021,3,PR08,243917
2021,3,PR09,66173
2021,3,PR10,107881
2021,3,PR11,81056
2021,3,PR12,20724
2021,3,PR13,112397
2021,3,PR14,140488
2021,3,PR15,77903
2021,3,PR16,112180
2021,3,PR17,243234
2021,3,PR18,34008
2021,3,PR19,46357
2021,3,PR20,42248
2021,3,PR21,824741
2021,3,PR22,190674
2021,3,PR23,42452
2021,3,PR24,113366
2021,4,PR01,3002329
2021,4,PR02,746094
2021,4,PR03,44924
2021,4,PR04,117381
2021,4,PR05,76640
2021,4,PR06,1118579
2021,4,PR07,116488
2021,4,PR08,229305
2021,4,PR09,67396
2021,4,PR10,108333
2021,4,PR11,82376
2021,4,PR12,25613
2021,4,PR13,115618
2021,4,PR14,139606
2021,4,PR15,76685
2021,4,PR16,111231
2021,4,PR17,206327
2021,4,PR18,33497
2021,4,PR19,46426
2021,4,PR20,41732
2021,4,PR21,746848
2021,4,PR22,190841
2021,4,PR23,42441
2021,4,PR24,110048
2022,1,PR01,2975672
2022,1,PR02,745263
2022,1,PR03,47123
2022,1,PR04,119743
2022,1,PR05,77728
2022,1,PR06,1124246
2022,1,PR07,131173
2022,1,PR08,229140
2022,1,PR09,67264
2022,1,PR10,109925
2022,1,PR11,78656
2022,1,PR12,23751
2022,1,PR13,120661
2022,1,PR14,139738
2022,1,PR15,76008
2022,1,PR16,107854
2022,1,PR17,215980
2022,1,PR18,34474
2022,1,PR19,46491
2022,1,PR20,41803
2022,1,PR21,744319
2022,1,PR22,145552
2022,1,PR23,42756
2022,1,PR24,119507
2022,2,PR01,2994210
2022,2,PR02,745194
2022,2,PR03,52137
2022,2,PR04,122109
2022,2,PR05,79115
2022,2,PR06,1141123
2022,2,PR07,132406
2022,2,PR08,230101
2022,2,PR09,67339
2022,2,PR10,112372
2022,2,PR11,77942
2022,2,PR12,24062
2022,2,PR13,129894
2022,2,PR14,142495
2022,2,PR15,75772
2022,2,PR16,107552
2022,2,PR17,213618
2022,2,PR18,37356
2022,2,PR19,47129
2022,2,PR20,42016
2022,2,PR21,750117
2022,2,PR22,148501
2022,2,PR23,42480
2022,2,PR24,132544
2022,3,PR01,2998021
2022,3,PR02,743338
2022,3,PR03,52274
2022,3,PR04,121771
2022,3,PR05,80020
2022,3,PR06,1141181
2022,3,PR07,135711
2022,3,PR08,231102
2022,3,PR09,68010
2022,3,PR10,116493
2022,3,PR11,74175
2022,3,PR12,24224
2022,3,PR13,133136
2022,3,PR14,142905
2022,3,PR15,73768
2022,3,PR16,101277
2022,3,PR17,214522
2022,3,PR18,39324
2022,3,PR19,47371
2022,3,PR20,42088
2022,3,PR21,758933
2022,3,PR22,151092
2022,3,PR23,43869
2022,3,PR24,131326
2022,4,PR01,2965696
2022,4,PR02,738948
2022,4,PR03,54332
2022,4,PR04,124007
2022,4,PR05,80548
2022,4,PR06,1144232
2022,4,PR07,138275
2022,4,PR08,232681
2022,4,PR09,68178
2022,4,PR10,118439
2022,4,PR11,84533
2022,4,PR12,24198
2022,4,PR13,135969
2022,4,PR14,144537
2022,4,PR15,75837
2022,4,PR16,106441
2022,4,PR17,216928
2022,4,PR18,39665
2022,4,PR19,48667
2022,4,PR20,36885
2022,4,PR21,765310
2022,4,PR22,153651
2022,4,PR23,44077
2022,4,PR24,137991
2023,1,PR01,3026183
2023,1,PR02,754663
2023,1,PR03,53881
2023,1,PR04,119111
2023,1,PR05,77341
2023,1,PR06,1155500
2023,1,PR07,139742
2023,1,PR08,230874
2023,1,PR09,74716
2023,1,PR10,120974
2023,1,PR11,82416
2023,1,PR12,25228
2023,1,PR13,140688
2023,1,PR14,143074
2023,1,PR15,77665
2023,1,PR16,106875
2023,1,PR17,215732
2023,1,PR18,42465
2023,1,PR19,48348
2023,1,PR20,36161
2023,1,PR21,758047
2023,1,PR22,155373
2023,1,PR23,44735
2023,1,PR24,140620
2023,2,PR01,3129739
2023,2,PR02,819774
2023,2,PR03,54376
2023,2,PR04,124447
2023,2,PR05,76929
2023,2,PR06,1213542
2023,2,PR07,146973
2023,2,PR08,240513
2023,2,PR09,76360
2023,2,PR10,122165
2023,2,PR11,82353
2023,2,PR12,26153
2023,2,PR13,142785
2023,2,PR14,146236
2023,2,PR15,85532
2023,2,PR16,103057
2023,2,PR17,226114
2023,2,PR18,42086
2023,2,PR19,48514
2023,2,PR20,39293
2023,2,PR21,781228
2023,2,PR22,157347
2023,2,PR23,45463
2023,2,PR24,145421
2023,3,PR01,3019720
2023,3,PR02,730235
2023,3,PR03,56378
2023,3,PR04,120942
2023,3,PR05,79587
2023,3,PR06,1147976
2023,3,PR07,140356
2023,3,PR08,233002
2023,3,PR09,75707
2023,3,PR10,123351
2023,3,PR11,82216
2023,3,PR12,35194
2023,3,PR13,143748
2023,3,PR14,141519
2023,3,PR15,75294
2023,3,PR16,104307
2023,3,PR17,219130
2023,3,PR18,44567
2023,3,PR19,48751
2023,3,PR20,41366
2023,3,PR21,754992
2023,3,PR22,149724
2023,3,PR23,45759
2023,3,PR24,129914
2023,4,PR01,3030594
2023,4,PR02,718322
2023,4,PR03,52242
2023,4,PR04,117091
2023,4,PR05,78209
2023,4,PR06,1125889
2023,4,PR07,126552
2023,4,PR08,258235
2023,4,PR09,78698
2023,4,PR10,120720
2023,4,PR11,81520
2023,4,PR12,24095
2023,4,PR13,144402
2023,4,PR14,133489
2023,4,PR15,66927
2023,4,PR16,98317
2023,4,PR17,218119
2023,4,PR18,41603
2023,4,PR19,52978
2023,4,PR20,42135
2023,4,PR21,704457
2023,4,PR22,158573
2023,4,PR23,45673
2023,4,PR24,131969
2024,1,PR01,3000167
2024,1,PR02,705786
2024,1,PR03,51061
2024,1,PR04,116721
2024,1,PR05,77969
2024,1,PR06,1125896
2024,1,PR07,125516
2024,1,PR08,256665
2024,1,PR09,95511
2024,1,PR10,120590
2024,1,PR11,80190
2024,1,PR12,23344
2024,1,PR13,140185
2024,1,PR14,131919
2024,1,PR15,65311
2024,1,PR16,96041
2024,1,PR17,222358
2024,1,PR18,38482
2024,1,PR19,60326
2024,1,PR20,39941
2024,1,PR21,703120
2024,1,PR22,147930
2024,1,PR23,45721
2024,1,PR24,130749
2024,2,PR01,2873482
2024,2,PR02,693686
2024,2,PR03,54865
2024,2,PR04,115238
2024,2,PR05,78471
2024,2,PR06,1118679
2024,2,PR07,124973
2024,2,PR08,256834
2024,2,PR09,95485
2024,2,PR10,120833
2024,2,PR11,79240
2024,2,PR12,23502
2024,2,PR13,139272
2024,2,PR14,133159
2024,2,PR15,64587
2024,2,PR16,97177
2024,2,PR17,224326
2024,2,PR18,37893
2024,2,PR19,60692
2024,2,PR20,39772
2024,2,PR21,699240
2024,2,PR22,147131
2024,2,PR23,46175
2024,2,PR24,129716
2024,3,PR01,2919487
2024,3,PR02,713585
2024,3,PR03,55428
2024,3,PR04,115881
2024,3,PR05,78719
2024,3,PR06,1132890
2024,3,PR07,127231
2024,3,PR08,260622
2024,3,PR09,94625
2024,3,PR10,118432
2024,3,PR11,78720
2024,3,PR12,23227
2024,3,PR13,141900
2024,3,PR14,137247
2024,3,PR15,67803
2024,3,PR16,99147
2024,3,PR17,224613
2024,3,PR18,38875
2024,3,PR19,61259
2024,3,PR20,39704
2024,3,PR21,693301
2024,3,PR22,148208
2024,3,PR23,46686
2024,3,PR24,133962
2024,4,PR01,2928534
2024,4,PR02,729499
2024,4,PR03,57028
2024,4,PR04,115634
2024,4,PR05,79517
2024,4,PR06,1149815
2024,4,PR07,127943
2024,4,PR08,263605
2024,4,PR09,96882
2024,4,PR10,127359
2024,4,PR11,79398
2024,4,PR12,24091
2024,4,PR13,139347
2024,4,PR14,136835
2024,4,PR15,68630
2024,4,PR16,104350
2024,4,PR17,226910
2024,4,PR18,38563
2024,4,PR19,62783
2024,4,PR20,39487
2024,4,PR21,699557
2024,4,PR22,148837
2024,4,PR23,46696
2024,4,PR24,137473
2025,1,PR01,2922694
2025,1,PR02,745185
2025,1,PR03,55879
2025,1,PR04,116429
2025,1,PR05,79120
2025,1,PR06,1143756
2025,1,PR07,128485
2025,1,PR08,263161
2025,1,PR09,97013
2025,1,PR10,128527
2025,1,PR11,78858
2025,1,PR12,23282
2025,1,PR13,142630
2025,1,PR14,133931
2025,1,PR15,69112
2025,1,PR16,100462
2025,1,PR17,226032
2025,1,PR18,38243
2025,1,PR19,63688
2025,1,PR20,37052
2025,1,PR21,692699
2025,1,PR22,117040
2025,1,PR23,46803
2025,1,PR24,137182
