anio,trimestre,provincia_id,accesos100hab,accesos100hog
2021,3,PR01,18.01,54.38
2021,3,PR02,44.45,107.27
2021,3,PR03,5.93,23.32
2021,3,PR04,6.11,22.88
2021,3,PR05,11.77,38.41
2021,3,PR06,12.85,41.97
2021,3,PR07,6.95,26.41
2021,3,PR08,11.82,39.52
2021,3,PR09,5.03,19.76
2021,3,PR10,4.55,17.8
2021,3,PR11,19.98,60.65
2021,3,PR12,5.48,20.59
2021,3,PR13,9.83,35.23
2021,3,PR14,6.24,22.92
2021,3,PR15,11.15,37.46
2021,3,PR16,11.18,36.33
2021,3,PR17,6.57,27.14
2021,3,PR18,9.56,37.54
2021,3,PR19,6.76,23.62
2021,3,PR20,7.34,24.68
2021,3,PR21,15.25,48.48
2021,3,PR22,5.85,23.59
2021,3,PR23,12.39,41.79
2021,3,PR24,7.84,31.64
2021,4,PR01,18.81,56.67
2021,4,PR02,46.77,112.99
2021,4,PR03,7.11,27.94
2021,4,PR04,7.51,28.1
2021,4,PR05,10.94,35.71
2021,4,PR06,15.46,50.49
2021,4,PR07,8.71,33.08
2021,4,PR08,14.92,49.89
2021,4,PR09,6.0,23.56
2021,4,PR10,5.72,22.35
2021,4,PR11,19.95,60.55
2021,4,PR12,6.76,25.41
2021,4,PR13,10.23,36.67
2021,4,PR14,7.78,28.58
2021,4,PR15,10.88,36.55
2021,4,PR16,11.48,37.33
2021,4,PR17,8.4,34.69
2021,4,PR18,8.49,33.34
2021,4,PR19,6.46,22.58
2021,4,PR20,7.51,25.23
2021,4,PR21,18.49,58.79
2021,4,PR22,6.78,27.34
2021,4,PR23,10.81,36.46
2021,4,PR24,9.73,39.28
2022,1,PR01,17.51,53.12
2022,1,PR02,46.59,112.15
2022,1,PR03,7.28,28.62
2022,1,PR04,7.07,26.43
2022,1,PR05,9.93,32.39
2022,1,PR06,15.44,50.43
2022,1,PR07,7.96,30.22
2022,1,PR08,13.72,45.9
2022,1,PR09,5.6,22.02
2022,1,PR10,6.34,24.79
2022,1,PR11,19.2,58.27
2022,1,PR12,7.02,26.35
2022,1,PR13,8.25,29.56
2022,1,PR14,7.27,26.68
2022,1,PR15,9.96,33.45
2022,1,PR16,9.59,31.17
2022,1,PR17,7.69,31.74
2022,1,PR18,8.06,31.65
2022,1,PR19,5.94,20.76
2022,1,PR20,6.55,22.02
2022,1,PR21,17.82,56.67
2022,1,PR22,6.92,27.9
2022,1,PR23,10.44,35.23
2022,1,PR24,10.96,44.23
2022,2,PR01,12.98,39.29
2022,2,PR02,32.84,79.15
2022,2,PR03,6.53,25.69
2022,2,PR04,5.66,21.17
2022,2,PR05,9.5,30.99
2022,2,PR06,12.93,42.23
