anio,trimestre,provincia_id,Accesos_cada_100_hogares,Accesos_cada_100_habitantes
2022,1,PR14,49.04,13.36
2022,1,PR15,74.17,22.08
2022,1,PR16,67.04,20.62
2022,1,PR17,56.11,13.59
2022,1,PR18,43.55,11.09
2022,1,PR19,80.72,23.1
2022,1,PR20,43.34,12.89
2022,1,PR21,77.3,24.31
2022,1,PR22,47.17,11.71
2022,1,PR23,98.29,29.14
2022,1,PR24,57.39,14.22
2022,2,PR01,77.58,26.13
2022,2,PR02,121.31,49.87
2022,2,PR03,62.4,15.87
2022,2,PR04,43.79,11.7
2022,2,PR05,83.19,25.5
2022,2,PR06,87.48,26.78
2022,2,PR07,48.35,12.73
2022,2,PR08,63.9,19.1
2022,2,PR09,43.42,11.05
2022,2,PR10,57.32,14.66
2022,2,PR11,92.98,30.63
2022,2,PR12,80.14,21.33
2022,2,PR13,49.39,13.78
2022,2,PR14,51.0,13.89
2022,2,PR15,80.02,23.82
2022,2,PR16,67.85,20.87
